Zone,X,Y
Noeud,370319.071067427,6417060.17223198
Noeud,370369.42851997,6417109.71273523
Noeud,370419.785975741,6417159.25323978
Noeud,370619.579738636,6417157.61798439
Noeud,370669.937204254,6417207.15848577
Noeud,370720.294673101,6417256.69898845
Noeud,370770.243117235,6417256.2901679
Noeud,370769.42506123,6417156.39152405
Noeud,370818.964472498,6417106.03338035
Noeud,370869.321943162,6417155.57387488
Noeud,370919.270384188,6417155.16504762
Noeud,370918.452318333,6417055.26640662
Noeud,370967.991721567,6417004.90825763
Noeud,370967.58268726,6416954.95894051
Noeud,371017.122085272,6416904.60079144
Noeud,371016.71304893,6416854.65147736
Noeud,371066.252442394,6416804.29332766
Noeud,371065.843404356,6416754.34401637
Noeud,371115.382792936,6416703.9858663
Noeud,371114.973753201,6416654.03655779
Noeud,371164.513136897,6416603.67840737
Noeud,371214.052517363,6416553.32025553
Noeud,371263.5918946,6416502.96210228
Noeud,371413.437155813,6416501.73554583
Noeud,371462.976525101,6416451.37738377
Noeud,371512.515891159,6416401.0192203
Noeud,371561.64619944,6416300.71175294
Noeud,371611.185557386,6416250.3535877
Noeud,371660.724912104,6416199.99542105
Noeud,371658.270564431,6415900.29965476
Noeud,371607.913106621,6415850.75923814
Noeud,371408.119508027,6415852.39470718
Noeud,371357.762060061,6415802.85428738
Noeud,371207.916867094,6415804.08086657
Noeud,371157.559426981,6415754.540445
Noeud,371007.714239004,6415755.76700502
Noeud,370957.356807418,6415706.22658113
Noeud,370657.666442486,6415708.67964619
Noeud,370607.309024055,6415659.13921691
Noeud,370257.670278736,6415662.00103671
Noeud,370207.312874777,6415612.46060121
Noeud,369807.725752903,6415615.73113625
Noeud,369757.368365748,6415566.19069287
Noeud,369507.62642363,6415568.23471403
Noeud,369508.035412622,6415618.1839629
Noeud,369558.392793075,6415667.72441425
Noeud,369559.21077408,6415767.62292199
Noeud,369609.568160906,6415817.16337944
Noeud,369659.925550959,6415866.70383818
Noeud,369660.334544544,6415916.65309944
Noeud,369710.691939398,6415966.19356188
Noeud,369761.049337479,6416015.7340256
Noeud,369761.458334168,6416065.6832934
Noeud,369811.815737049,6416115.22376082
Noeud,369861.764143324,6416114.81495693
Noeud,369912.121551088,6416164.35542453
Noeud,369962.478962417,6416213.89589315
Noeud,370012.836376637,6416263.43636332
Noeud,370062.784787579,6416263.02755457
Noeud,370113.142206681,6416312.56802493
Noeud,370113.960222119,6416412.46659246
Noeud,370164.317647594,6416462.00706892
Noeud,370165.135666011,6416561.90564817
Noeud,370215.49309786,6416611.44613072
Noeud,370265.850532936,6416660.98661457
Noeud,370316.207971578,6416710.52709943
Noeud,370366.565412772,6416760.06758614
Noeud,370367.383443607,6416859.96619152
Noeud,370317.844026453,6416910.32430778
Noeud,370319.071067427,6417060.17223198
